"68477","68477","txn","","species","Phiomia serridens","43252","15070","extinct","1","Chordata","Mammalia","Proboscidea","Phiomiidae","Phiomia",""
"100794","100794","txn","","species","Phiomia major","43252","24375","extinct","1","Chordata","Mammalia","Proboscidea","Phiomiidae","Phiomia",""
"159352","159352","txn","","species","Tetrabelodon (Hemimastodon) crepusculi","157613","31192","extinct","0","Chordata","Mammalia","Proboscidea","","Hemimastodon",""
"86202","86202","txn","","species","Palaeomastodon wintoni","43251","11955","extinct","1","Chordata","Mammalia","Proboscidea","","Palaeomastodon",""
"86205","86205","txn","","species","Palaeomastodon minor","43251","11955","extinct","1","Chordata","Mammalia","Proboscidea","","Palaeomastodon",""
"86203","86203","txn","","species","Palaeomastodon parvus","43251","11955","extinct","1","Chordata","Mammalia","Proboscidea","","Palaeomastodon",""
"86200","86200","txn","","species","Palaeomastodon beadnelli","43251","11955","extinct","1","Chordata","Mammalia","Proboscidea","","Palaeomastodon",""
"295384","295385","txn","","species","Selenolophodon spectabilis","43135","51231","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Selenolophodon",""
"170137","170137","txn","","species","Pentalophodon sivalensis","43253","33257","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Pentalophodon",""
"160998","161000","txn","","species","Tetralophodon (Lydekkeria) falconeri","160999","2707","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Tetralophodon",""
"46685","52218","txn","","species","Tetralophodon elegans","43261","54433","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Tetralophodon",""
"90208","90209","txn","","species","Tetralophodon longirostris","43261","19320","extinct","20","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Tetralophodon",""
"247636","247636","txn","","species","Haplomastodon (Aleamastodon) guayasensis","247635","43044","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Haplomastodon",""
"205605","205605","txn","","species","Haplomastodon waringi","43248","38514","extinct","3","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Haplomastodon",""
"247634","247634","txn","","species","Haplomastodon chimborazi","43248","43044","extinct","16","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Haplomastodon",""
"46670","46670","txn","","species","Gnathabelodon buckneri","43246","3433","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gnathabelodon",""
"46671","46671","txn","","species","Gnathabelodon thorpei","43246","1011","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gnathabelodon",""
"267503","267503","txn","","species","Amahuacatherium peruvium","267501","46734","extinct","2","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amahuacatherium",""
"52217","48828","txn","","species","Morrillia barbouri","160993","2703","extinct","4","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Morrillia",""
"47940","46693","txn","","species","Gomphotherium obscurum","43247","2705","extinct","24","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"47943","46699","txn","","species","Gomphotherium productum","43247","2705","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"47946","46701","txn","","species","Gomphotherium rugosidens","43247","3132","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"54373","54373","txn","","species","Gomphotherium wimani","43247","9181","extinct","4","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"161006","161006","txn","","species","Gomphotherium gratum","43247","54433","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"54374","54374","txn","","species","Gomphotherium connexus","43247","9181","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"295386","295386","txn","","species","Gomphotherium shensiensis","43247","51231","extinct","2","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"253279","253279","txn","","species","Serridentinus mongoliensis","43247","44015","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"51519","46677","txn","","species","Gomphotherium anguirvalis","43247","3432","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"51532","46704","txn","","species","Gomphotherium simplicidens","43247","2705","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"52204","52204","txn","","species","Tetrabelodon osborni","43247","984","extinct","16","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"104414","104415","txn","","species","Tetrabelodon angustidens","43247","24773","extinct","16","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"47936","52485","txn","","species","Trilophodon ligoniferus","43247","3433","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"51520","46679","txn","","species","Gomphotherium brewsterensis","43247","3432","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"51523","46692","txn","","species","Gomphotherium nebrascensis","43247","3432","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"157812","157812","txn","","species","Gomphotherium angustidens","43247","31192","extinct","41","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium",""
"51515","51515","txn","","species","Serbelodon barbourensis","43257","3432","extinct","3","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon",""
"51516","51516","txn","","species","Serbelodon burnhami","43257","2709","extinct","4","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon",""
"52405","50396","txn","","species","Platybelodon loomisi","43254","990","extinct","2","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Platybelodon",""
"157813","157813","txn","","species","Platybelodon dangheesis","43254","31192","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Platybelodon",""
"52404","50395","txn","","species","Platybelodon barnumbrowni","43254","993","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Platybelodon",""
"45650","45410","txn","","species","Cuvieronius tropicus","43244","53461","extinct","23","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius",""
"46698","45409","txn","","species","Cuvieronius priestleyi","43244","57444","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius",""
"45405","45405","txn","","species","Cuvieronius arellanoi","43244","6294","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius",""
"47934","43965","txn","","species","Amebelodon floridanus","43241","2705","extinct","6","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon",""
